REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT
9/14/17 16:54,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
8/22/17 23:44,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,718 - 799 BLOCK OF 15TH STREET NW,2
8/24/17 2:07,MIDNIGHT,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF NEW YORK AVENUE NW,1
8/1/17 18:39,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
8/26/17 0:46,MIDNIGHT,ROBBERY,KNIFE,600 - 699 BLOCK OF 13TH STREET NW,1
9/3/17 7:09,DAY,ASSAULT W/DANGEROUS WEAPON,KNIFE,1306 - 1399 BLOCK OF H STREET NW,1
9/27/17 13:25,DAY,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF 14TH STREET NW,1
7/21/17 20:13,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 15TH STREET NW,2
8/15/17 14:37,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
8/24/17 2:48,MIDNIGHT,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF NEW YORK AVENUE NW,1
9/16/17 5:08,MIDNIGHT,BURGLARY,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
8/20/17 2:57,MIDNIGHT,ROBBERY,OTHERS,1306 - 1399 BLOCK OF H STREET NW,1
9/17/17 12:43,DAY,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF 15TH STREET NW,2
8/19/17 3:55,MIDNIGHT,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
8/19/17 15:17,EVENING,ROBBERY,OTHERS,600 - 699 BLOCK OF 15TH STREET NW,2
8/19/17 22:18,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
9/30/17 21:56,EVENING,ROBBERY,OTHERS,1400 - 1499 BLOCK OF I STREET NW,2
9/24/17 20:32,EVENING,THEFT/OTHER,OTHERS,700 - 723 BLOCK OF 14TH STREET NW,1
8/26/17 16:43,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
8/27/17 23:31,MIDNIGHT,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF PENNSYLVANIA AVENUE NW,2
10/10/17 19:17,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
