FID,fire_zone_type,place_fips,place_name,neighborhood,x,y
8281357,,59346,Ramona CDP,,-116.8702794,33.03321483
8281358,,59346,Ramona CDP,,-116.870298,33.033577
8281359,,59346,Ramona CDP,,-116.8707515,33.033982
8281360,,59346,Ramona CDP,,-116.866753,33.034604
8281361,,59346,Ramona CDP,,-116.8692142,33.03564813
8281362,,59346,Ramona CDP,,-116.8612305,33.031531
8281363,,59346,Ramona CDP,,-116.8565544,33.03190167
8281364,,59346,Ramona CDP,,-116.8601303,33.03509266
8281365,,59346,Ramona CDP,,-116.8526418,33.03523568
8281366,,59346,Ramona CDP,,-116.85309,33.035827
8281367,,59346,Ramona CDP,,-116.8386278,33.06346414
8281368,SRA,59346,Ramona CDP,,-116.8336167,33.05069977
8281369,SRA,59346,Ramona CDP,,-116.8244223,33.04656808
8281370,SRA,59346,Ramona CDP,,-116.8340198,33.04420483
8281371,SRA,59346,Ramona CDP,,-116.8394129,33.04515773
8281372,,59346,Ramona CDP,,-116.8453067,33.03542691
8281373,SRA,59346,Ramona CDP,,-116.8350502,33.03361251
8281375,,59346,Ramona CDP,,-116.886768,33.01821581
8281376,,59346,Ramona CDP,,-116.8843525,33.02592336
8281377,,59346,Ramona CDP,,-116.8771742,33.02038822
8281378,,59346,Ramona CDP,,-116.8773164,33.02491099
8281379,,59346,Ramona CDP,,-116.8828818,33.01667935
8281380,LRA,59346,Ramona CDP,,-116.8647238,33.02165696
8281381,,59346,Ramona CDP,,-116.869961,33.0255165
8281382,,59346,Ramona CDP,,-116.862496,33.0259765
8387211,SRA,59346,Ramona CDP,,-116.9046305,33.073221
8387327,,59346,Ramona CDP,,-116.9496104,33.02843292
8387328,SRA,59346,Ramona CDP,,-116.9346148,33.05671896
8387329,,59346,Ramona CDP,,-116.9003355,33.04551314
8387330,,59346,Ramona CDP,,-116.9126495,33.0409275
8387331,,59346,Ramona CDP,,-116.897707,33.03707714
8387332,,59346,Ramona CDP,,-116.8958388,33.03313403
8387333,,59346,Ramona CDP,,-116.8971284,33.03312978
8387335,,59346,Ramona CDP,,-116.9418595,33.0196795
8387336,,59346,Ramona CDP,,-116.9479761,33.02616102
8387342,SRA,59346,Ramona CDP,,-116.929403,33.0188005
8387343,SRA,59346,Ramona CDP,,-116.9331064,33.02250025
8387344,,59346,Ramona CDP,,-116.9377336,33.02556776
8387345,SRA,59346,Ramona CDP,,-116.9372405,33.01202237
8387346,,59346,Ramona CDP,,-116.9097382,33.01074267
8387356,SRA,59346,Ramona CDP,,-116.8811724,33.07859782
8387357,SRA,59346,Ramona CDP,,-116.8620267,33.07615003
8387358,SRA,59346,Ramona CDP,,-116.8680132,33.07940097
8387359,SRA,59346,Ramona CDP,,-116.868121,33.070661
8387360,,59346,Ramona CDP,,-116.8577698,33.06887399
8387361,SRA,59346,Ramona CDP,,-116.8579635,33.0719475
8387362,SRA,59346,Ramona CDP,,-116.848824,33.092999
8387363,SRA,59346,Ramona CDP,,-116.8481077,33.09308347
8387364,SRA,59346,Ramona CDP,,-116.8361212,33.08346354
8387365,SRA,59346,Ramona CDP,,-116.8426565,33.078105
8387366,SRA,59346,Ramona CDP,,-116.835733,33.07511932
8387367,,59346,Ramona CDP,,-116.8503744,33.06551486
8387373,,59346,Ramona CDP,,-116.8741847,33.04799842
8387374,,59346,Ramona CDP,,-116.870846,33.0577155
8387375,,59346,Ramona CDP,,-116.864389,33.0626815
8387376,,59346,Ramona CDP,,-116.8587577,33.05538105
8387377,SRA,59346,Ramona CDP,,-116.8569095,33.047839
8387378,,59346,Ramona CDP,,-116.8849381,33.02858858
8387379,,59346,Ramona CDP,,-116.8944712,33.03302534
8387380,,59346,Ramona CDP,,-116.8738981,33.03444368
8387381,,59346,Ramona CDP,,-116.861708,33.037824
8387382,,59346,Ramona CDP,,-116.8682855,33.0391315
8387383,,59346,Ramona CDP,,-116.8628139,33.0391263
8387384,,59346,Ramona CDP,,-116.8686887,33.03972368
8387385,,59346,Ramona CDP,,-116.8656796,33.04206404
8387386,,59346,Ramona CDP,,-116.8606726,33.03816851
8387387,,59346,Ramona CDP,,-116.8605338,33.04122901
8387388,,59346,Ramona CDP,,-116.86595,33.0300825
8387389,,59346,Ramona CDP,,-116.8715572,33.03186892
8387390,,59346,Ramona CDP,,-116.8700155,33.03264
8387391,,59346,Ramona CDP,,-116.8620129,33.03270983
8387392,,59346,Ramona CDP,,-116.8675058,33.03376421
8387393,,59346,Ramona CDP,,-116.866618,33.0344015
8387394,,59346,Ramona CDP,,-116.867933,33.035724
8387395,,59346,Ramona CDP,,-116.8585885,33.030563
8387396,,59346,Ramona CDP,,-116.8612433,33.0329035
8387397,,59346,Ramona CDP,,-116.8615258,33.03336177
8387398,,59346,Ramona CDP,,-116.8522735,33.03376969
8387399,,59346,Ramona CDP,,-116.8599233,33.03546217
8387400,,59346,Ramona CDP,,-116.846454,33.0554795
8387401,SRA,59346,Ramona CDP,,-116.841189,33.050125
8387402,SRA,59346,Ramona CDP,,-116.8419346,33.05247226
8387403,SRA,59346,Ramona CDP,,-116.8400886,33.05313236
8387404,SRA,59346,Ramona CDP,,-116.8429308,33.03993522
8387405,,59346,Ramona CDP,,-116.8474643,33.04179689
8387406,SRA,59346,Ramona CDP,,-116.8484475,33.0425035
8387407,SRA,59346,Ramona CDP,,-116.8499886,33.04308731
8387408,SRA,59346,Ramona CDP,,-116.8504945,33.045335
8387409,,59346,Ramona CDP,,-116.8461695,33.0291565
8387410,,59346,Ramona CDP,,-116.850566,33.03266558
8387411,,59346,Ramona CDP,,-116.8355055,33.0311735
8387412,SRA,59346,Ramona CDP,,-116.8318277,33.0337436
8387413,SRA,59346,Ramona CDP,,-116.8284295,33.0449045
8387415,,59346,Ramona CDP,,-116.889834,33.0263645
8387416,,59346,Ramona CDP,,-116.8769476,33.02099238
8387417,,59346,Ramona CDP,,-116.8806742,33.02698886
8387418,,59346,Ramona CDP,,-116.894515,33.0106855
8387419,,59346,Ramona CDP,,-116.8891885,33.01779906
8387420,,59346,Ramona CDP,,-116.8685488,33.01886363
8387421,LRA,59346,Ramona CDP,,-116.8632028,33.02010257
8387422,,59346,Ramona CDP,,-116.8712773,33.02104325
8387423,,59346,Ramona CDP,,-116.8690045,33.02277647
8387424,,59346,Ramona CDP,,-116.8714815,33.0244655
8387425,,59346,Ramona CDP,,-116.8511412,33.02691962
8387427,,59346,Ramona CDP,,-116.862492,33.014027
8387429,,59346,Ramona CDP,,-116.8617358,33.00863425
8387430,,59346,Ramona CDP,,-116.8555915,33.0078435
8387431,,59346,Ramona CDP,,-116.843029,33.0233405
8492665,SRA,59346,Ramona CDP,,-116.9241679,33.0666427
8492666,SRA,59346,Ramona CDP,,-116.9064019,33.06826259
8492768,,59346,Ramona CDP,,-116.9529647,33.0327011
8492769,,59346,Ramona CDP,,-116.9480973,33.02861915
8492770,SRA,59346,Ramona CDP,,-116.9283852,33.06023791
8492771,,59346,Ramona CDP,,-116.929805,33.05357913
8492772,SRA,59346,Ramona CDP,,-116.903754,33.0475245
8492773,SRA,59346,Ramona CDP,,-116.8947178,33.05433717
8492774,,59346,Ramona CDP,,-116.9094954,33.04134772
8492775,,59346,Ramona CDP,,-116.8999749,33.03856641
8492776,,59346,Ramona CDP,,-116.9050225,33.0433085
8492777,,59346,Ramona CDP,,-116.8969465,33.028088
8492780,SRA,59346,Ramona CDP,,-116.9519832,33.01817863
8492781,,59346,Ramona CDP,,-116.9547169,33.02381692
8492782,,59346,Ramona CDP,,-116.9517383,33.02382207
8492783,SRA,59346,Ramona CDP,,-116.943597,33.0175036
8492787,SRA,59346,Ramona CDP,,-116.930142,33.01771083
8492788,SRA,59346,Ramona CDP,,-116.923027,33.0091675
8492789,SRA,59346,Ramona CDP,,-116.9257745,33.016034
8492790,,59346,Ramona CDP,,-116.8983843,33.02305103
8492791,,59346,Ramona CDP,,-116.900212,33.023187
8492792,,59346,Ramona CDP,,-116.9008895,33.0258385
